Symbol,Date,open,high,low,close,volume
^VN30,20200303,835.42,846.21,835.42,837.99,68939866
^VN30,20200302,831.97,837.76,827.34,835.42,80301820
^VN30,20200228,848.34,848.34,823.13,831.97,103877027
^VN30,20200227,841.68,848.91,836.69,848.34,63947049
^VN30,20200226,849.58,849.58,838.01,841.68,58896320
^VN30,20200225,837.4,849.58,830.56,849.58,92349850
^VN30,20200224,868.89,868.89,837.4,837.4,109257339
^VN30,20200221,871.4,877.47,868.78,868.89,78411936
^VN30,20200220,866.58,872.71,864.32,871.4,61106480
^VN30,20200219,861.71,865.4,859.67,863.84,69129280
^VN30,20200218,866.61,866.61,858.85,861.71,70892894
^VN30,20200217,866.94,867.4,862.95,866.27,60906930
^VN30,20200214,867.47,868.84,863.22,865.86,74645390
^VN30,20200213,862.14,864.59,858.61,864.16,58430270
^VN30,20200212,861.45,869.92,860.49,863.23,80775330
^VN30,20200211,852.87,859.16,852.87,856.39,70070560
^VN30,20200210,863.49,863.49,848.47,852.87,52515647
^VN30,20200207,862.86,865.85,858.13,863.49,86382280
^VN30,20200206,845.31,862.86,843.38,862.86,104243694
^VN30,20200205,851.84,854.31,840.53,845.31,81526613
^VN30,20200204,842.67,849.76,834.1,845.52,81815180
^VN30,20200203,848.63,848.63,804.53,842.67,102316520
^VN30,20200131,875.82,876.56,848.63,848.63,114382080
^VN30,20200130,909.09,909.09,870.83,875.82,84978800
^VN30,20200122,906.52,909.09,903.6,909.09,57214500
^VN30,20200121,897.4,907.43,897.4,906.52,63140960
^VN30,20200120,894.84,897.4,891.93,897.4,64420690
^VN30,20200117,891.96,897.63,891.69,894.84,78682342
^VN30,20200116,885.36,892.12,884.23,891.96,85588867
^VN30,20200115,884.77,886.31,882.83,885.36,56696300
^VN30,20200114,881.79,886.7,880.69,884.77,101579404
^VN30,20200113,883.66,885.33,881.52,881.79,44929423
^VN30,20200110,877.76,887.74,877.76,885.52,80596640
^VN30,20200109,865.18,878.3,865.18,877.76,63853510
^VN30,20200108,870.87,870.89,861.7,865.18,122997524
^VN30,20200107,872.34,877.05,870.59,876.7,62497863
^VN30,20200106,879.1,879.68,872.34,872.34,55225846
^VN30,20200103,888.36,890.37,883.28,883.28,44169390
^VN30,20200102,879.06,886.88,877.01,886.88,96928880
^VN30,20191231,880.29,881.86,876.67,879.06,62934988
^VN30,20191230,876.58,881.11,876.49,880.29,35563500
^VN30,20191227,872.07,876.38,868.2,876.38,52757470
^VN30,20191226,873.18,874.87,869.63,872.07,75604940
^VN30,20191225,869.88,874.8,869.28,873.18,73158714
^VN30,20191224,868.2,869.88,865.15,869.88,76632756
^VN30,20191223,868.37,872.67,868.2,868.2,91493580
^VN30,20191220,863.88,869.44,862.46,868.37,91386150
^VN30,20191219,862.53,867.02,858.94,862.23,90455630
^VN30,20191218,865.43,867.49,861.05,863.16,95666040
^VN30,20191217,876.91,877.44,867.14,867.44,88870666
^VN30,20191216,880.55,880.55,874.24,876.65,114566430
^VN30,20191213,884.8,888.26,880.55,880.55,92783280
^VN30,20191212,878.27,885.64,878.27,884.8,75058991
^VN30,20191211,873.16,878.27,869.3,878.27,91840279
^VN30,20191210,879.94,880.18,870.45,873.16,99733391
^VN30,20191209,879.55,882.48,876.26,879.94,91165370
^VN30,20191206,879.32,882.59,876.66,880.43,73276900
^VN30,20191205,883.56,886.21,878.39,879.32,84367701
^VN30,20191204,868.68,883.56,865.64,883.56,99433640
^VN30,20191203,875.1,877.85,866.16,868.68,128605228
^VN30,20191202,887.47,889.12,875.1,875.1,92046005
^VN30,20191129,886.65,888.36,882.98,887.47,75454338
^VN30,20191128,893.31,895.25,883.3,885.7,90570301
^VN30,20191127,897.5,900.95,895.06,895.06,72437644
^VN30,20191126,898.62,900.59,896.49,897.5,84589693
^VN30,20191125,892.31,896.19,886.81,894.8,71837850
^VN30,20191122,905.89,906.51,885.85,892.31,99037567
^VN30,20191121,914.46,915.14,898.23,898.23,97468109
^VN30,20191120,926.07,926.43,917,917,82278950
^VN30,20191119,920.95,926.07,920.11,926.07,100619028
^VN30,20191118,927.36,929.13,920.52,920.95,76773110
^VN30,20191115,929.03,930.56,922.78,927.36,78864280
^VN30,20191114,933.02,935.5,927.14,928.44,81597440
^VN30,20191113,939.82,940.91,931.15,932.6,150833241
^VN30,20191112,939.36,942.51,938.12,939.82,70788598
^VN30,20191111,944.7,946.53,939,939.72,88926330
^VN30,20191108,946.44,948.14,942.4,944.7,89559420
^VN30,20191107,942.38,945.22,940.29,944.25,94502463
^VN30,20191106,941.39,945.32,940.89,942.38,90391060
^VN30,20191105,941.4,944.18,938.88,942.34,79388127
^VN30,20191104,936.4,941.41,932.47,940.25,100174667
^VN30,20191101,922.68,934.19,922.68,933.55,105607575
^VN30,20191031,925.07,928.75,922.09,922.68,71766070
^VN30,20191030,923.97,928.73,922.7,925.07,67313320
^VN30,20191029,926.45,928.18,923.97,923.97,77204833
^VN30,20191028,927.85,929.93,925.97,925.97,79928384
^VN30,20191025,925.3,927.05,923.69,927.05,67758550
^VN30,20191024,920.28,925.25,919.22,925.25,67501060
^VN30,20191023,916.81,919.61,916.04,919.61,66333164
^VN30,20191022,914.11,917.52,913.1,916.81,63918290
^VN30,20191021,919.13,919.13,914,914,78715556
^VN30,20191018,919.1,922.59,916.91,919.13,69308160
^VN30,20191017,924.64,924.75,919.1,919.1,82960977
^VN30,20191016,923.27,927.76,923.27,924.64,72440190
^VN30,20191015,921.91,924.79,920.63,923.27,81616780
^VN30,20191014,916.68,924.55,916.68,921.91,93986472
^VN30,20191011,913.05,917.04,913.05,916.68,78834405
^VN30,20191010,914.54,917.07,912.35,913.05,71794278
^VN30,20191009,915.27,917.81,912.91,914.54,80410710
^VN30,20191008,907.5,915.27,906.91,915.27,77350560
^VN30,20191007,916.22,917.25,907.5,907.5,71489751
^VN30,20191004,921.7,924.29,915.16,915.16,81102190
^VN30,20191003,913.71,921.7,911.68,921.7,86274330
^VN30,20191002,926.31,927.12,917.68,919.73,76985682
^VN30,20191001,922.89,926.31,921.9,926.31,107040950
^VN30,20190930,924.83,930.73,922.79,922.89,67311556
^VN30,20190927,918.1,925.58,918.1,924.83,75579930
^VN30,20190926,912.91,918.1,912.03,918.1,65883001
^VN30,20190925,910.76,913.33,906.74,912.42,85175290
^VN30,20190924,909.98,914,908.24,910.76,72141575
^VN30,20190923,915.16,918.42,909.98,909.98,92464786
